Category,Scientific name,Used in analysis,Date,380 [nm],385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650,655,660,665,670,675,680,685,690,695,700,705,710,715,720,725,730,735,740,745,750,755,760,765,770,775,780 
flower,'Aegonychon zollingeri',TRUE,08/05/2014,0.13696,0.13438,0.16388,0.21294,0.27192,0.31579,0.35945,0.38464,0.40361,0.41811,0.42881,0.44263,0.45184,0.46048,0.46706,0.47032,0.46750,0.46235,0.45283,0.43914,0.42029,0.40210,0.37479,0.35097,0.32840,0.30694,0.28127,0.25856,0.23723,0.21657,0.19660,0.17866,0.16352,0.14743,0.13434,0.11940,0.10805,0.09596,0.08716,0.08321,0.08112,0.08161,0.08193,0.08147,0.08280,0.07970,0.07956,0.08054,0.08753,0.09711,0.11509,0.14096,0.17479,0.22418,0.28530,0.36455,0.43058,0.48585,0.52647,0.55940,0.57678,0.58075,0.59073,0.60722,0.61386,0.62696,0.63182,0.63543,0.64580,0.63851,0.63966,0.64389,0.65572,0.64732,0.64575,0.64842,0.65426,0.64253,0.65156,0.65914,0.66182 
flower,'Commelina communis',TRUE,29/08/2014,0.00217,0.02026,0.01948,0.02701,0.03664,0.04344,0.05077,0.05680,0.06209,0.06524,0.06895,0.07028,0.07068,0.06872,0.06778,0.06370,0.06038,0.05520,0.05016,0.04685,0.04239,0.03906,0.03501,0.03338,0.02983,0.02742,0.02575,0.02426,0.02228,0.02059,0.01996,0.01731,0.01746,0.01643,0.01496,0.01575,0.01448,0.01448,0.01446,0.01404,0.01289,0.01385,0.01240,0.01356,0.01288,0.01316,0.01446,0.01583,0.01643,0.01621,0.01675,0.01578,0.01702,0.01490,0.01539,0.01560,0.01674,0.01947,0.02034,0.02186,0.02616,0.03097,0.03640,0.04610,0.06015,0.07912,0.09195,0.11001,0.12219,0.13771,0.14311,0.15853,0.16523,0.16097,0.17201,0.17403,0.18172,0.18517,0.17373,0.17612,0.18219 
flower,'Hydrangea macrophylla',TRUE,05/06/2014,0.16016,0.08236,0.06474,0.06971,0.09739,0.13782,0.19022,0.24777,0.30199,0.34764,0.38442,0.41759,0.43731,0.45352,0.45980,0.46668,0.46425,0.46993,0.46724,0.46458,0.45972,0.45036,0.44321,0.43233,0.42218,0.40826,0.39120,0.37154,0.35149,0.33010,0.30994,0.29168,0.27082,0.25240,0.23676,0.22107,0.20779,0.19517,0.18331,0.17639,0.17032,0.16522,0.16734,0.16840,0.16996,0.16893,0.17313,0.17823,0.18684,0.19691,0.21400,0.23789,0.26343,0.29057,0.33090,0.37458,0.40936,0.44838,0.48576,0.51662,0.54948,0.56940,0.58515,0.59618,0.61420,0.62580,0.62827,0.63330,0.62893,0.63199,0.63536,0.65008,0.64937,0.66302,0.64759,0.64628,0.65159,0.65053,0.65075,0.65737,0.66233 
flower,'Hydrangea serrata',TRUE,26/06/2014,0.08537,0.10247,0.13605,0.18417,0.23510,0.28831,0.33704,0.38160,0.41925,0.44569,0.46377,0.47971,0.49249,0.50085,0.50420,0.50729,0.50540,0.50603,0.50490,0.50168,0.49557,0.48915,0.47937,0.46819,0.45628,0.44297,0.42797,0.40991,0.39170,0.36914,0.35022,0.33021,0.31154,0.29464,0.27624,0.25891,0.24427,0.23199,0.21889,0.21018,0.20301,0.19914,0.19982,0.19957,0.20161,0.20436,0.20843,0.21433,0.22348,0.23661,0.25317,0.27343,0.29847,0.32701,0.36023,0.39133,0.42519,0.45745,0.48193,0.50487,0.52330,0.53636,0.55220,0.55867,0.57326,0.57883,0.58909,0.59196,0.59751,0.59142,0.59795,0.59734,0.59846,0.59995,0.59317,0.59661,0.58841,0.59695,0.58782,0.59967,0.59153 
flower,'Oxypetalum caeruleum',TRUE,15/12/2014,0.04357,0.03879,0.04048,0.05241,0.07837,0.11117,0.15007,0.19124,0.22981,0.25418,0.27307,0.29366,0.30441,0.31220,0.31483,0.32054,0.31727,0.32418,0.31973,0.32093,0.31697,0.31434,0.30970,0.29906,0.28979,0.27677,0.26916,0.25707,0.24794,0.23707,0.22449,0.22028,0.20613,0.19713,0.18826,0.18052,0.17040,0.16623,0.16077,0.15480,0.14915,0.14499,0.13852,0.13091,0.12861,0.12067,0.11694,0.11668,0.11617,0.11814,0.11598,0.11460,0.10978,0.10761,0.10396,0.10993,0.10622,0.11053,0.11280,0.12113,0.12639,0.14223,0.16222,0.18363,0.20684,0.22337,0.26838,0.28398,0.31377,0.33816,0.36854,0.39076,0.40346,0.43884,0.44179,0.45687,0.46069,0.48669,0.49971,0.48846,0.50866 
flower,'Phacelia campanularia',TRUE,30/05/2014,0.06268,0.06261,0.07102,0.08268,0.09237,0.10472,0.11450,0.12254,0.12861,0.13355,0.13685,0.13953,0.14005,0.13949,0.13698,0.13413,0.12872,0.12302,0.11619,0.10924,0.10146,0.09327,0.08472,0.07562,0.06807,0.06165,0.05621,0.05108,0.04654,0.04192,0.03707,0.03340,0.03022,0.02803,0.02630,0.02484,0.02424,0.02327,0.02146,0.02016,0.01891,0.01830,0.01834,0.01983,0.02175,0.02478,0.02834,0.03101,0.03205,0.03214,0.03050,0.02877,0.02692,0.02720,0.02917,0.03336,0.04097,0.05313,0.06915,0.08939,0.11319,0.13646,0.15746,0.17564,0.19023,0.20170,0.20924,0.21507,0.21830,0.22065,0.22344,0.22274,0.22746,0.22761,0.22524,0.22566,0.22325,0.22691,0.22378,0.22599,0.22964 
flower,'Plumbago auriculata',TRUE,30/07/2014,0.07709,0.10026,0.12380,0.17326,0.22076,0.26534,0.30019,0.32197,0.33830,0.34553,0.35354,0.35565,0.36007,0.36386,0.36129,0.36278,0.35564,0.35630,0.35238,0.35026,0.34716,0.34325,0.33492,0.32887,0.32059,0.31273,0.30652,0.30110,0.29119,0.28404,0.27438,0.26578,0.25661,0.24942,0.24793,0.24828,0.24802,0.24260,0.23703,0.23000,0.22744,0.22256,0.22521,0.23021,0.24196,0.25447,0.26048,0.26799,0.26875,0.26464,0.26266,0.26058,0.26636,0.26857,0.27875,0.29469,0.31665,0.33588,0.34658,0.35313,0.36411,0.36323,0.37136,0.37149,0.36958,0.38044,0.37998,0.37717,0.37920,0.37661,0.38273,0.37234,0.38340,0.37876,0.37406,0.36958,0.36617,0.36000,0.37898,0.37180,0.37595 
flower,'Vinca minor',TRUE,23/04/2014,0.03402,0.03757,0.05015,0.07298,0.10700,0.14962,0.19741,0.24152,0.27889,0.30892,0.32525,0.33367,0.33593,0.33264,0.32462,0.31603,0.30263,0.29175,0.27918,0.26575,0.25211,0.23357,0.21486,0.19925,0.18585,0.17415,0.16152,0.14925,0.13674,0.12385,0.11322,0.10617,0.10243,0.10198,0.10192,0.10020,0.09780,0.09389,0.08990,0.08763,0.08751,0.09202,0.10091,0.11175,0.12090,0.12909,0.13165,0.13127,0.13091,0.13231,0.13602,0.14667,0.16388,0.18773,0.22220,0.26245,0.30586,0.34951,0.38979,0.42331,0.45211,0.47217,0.49069,0.50701,0.52139,0.52885,0.54212,0.55149,0.55770,0.55918,0.56820,0.57389,0.58546,0.58835,0.58668,0.59394,0.59504,0.60022,0.59697,0.60975,0.61292 
flower,'Dianthus caryophyllus',TRUE,15/12/2014,0.02699,0.01213,0.01827,0.01953,0.02979,0.04375,0.06689,0.08939,0.10993,0.12891,0.14033,0.14740,0.15135,0.16127,0.17011,0.18036,0.18665,0.19429,0.19554,0.19790,0.19634,0.19822,0.20428,0.21524,0.23112,0.24855,0.26970,0.28479,0.30166,0.31781,0.32704,0.33550,0.33399,0.34051,0.34111,0.33904,0.33786,0.33739,0.33104,0.32504,0.32544,0.31814,0.31849,0.31197,0.31422,0.30903,0.30516,0.29936,0.29935,0.29815,0.29894,0.30056,0.29240,0.28656,0.27795,0.27227,0.25835,0.23892,0.22231,0.21248,0.20924,0.22440,0.25936,0.31152,0.34427,0.36652,0.37706,0.37802,0.39020,0.40130,0.39344,0.40297,0.38719,0.40967,0.39487,0.39753,0.39798,0.40882,0.38945,0.38235,0.41160 
